ID,Na23,Fe57,Zn66,Rb85,Mn55,K39,Se82,P31,Cu65,Mg25,Sr88,As75,Cd114,Ca43,Co59,Mo98,S34,Li7
1925,1722.3787,140.16753,91.1989,401.28683,223.50574,65009.348,72.660835,16584.494,8.670538,4784.1724,67.1327,1.067792,2.5243855,42049.285,1.826645,6.050246,11738.419,14.955225
1954,700.7144,143.80847,96.099,408.15567,242.37598,65719.48,59.214092,16026.492,7.340325,4592.2734,69.805916,0.9709285,2.9966297,43089.527,2.564965,4.357979,11877.63,15.018362
2016,823.0623,143.43532,91.009125,552.32367,233.2137,88199.09,76.99598,17316.984,8.534425,4273.459,60.190445,0.87169343,2.8746831,40745.65,2.109313,4.7843575,14517.854,15.438441
2171,2158.699,140.26822,88.08317,412.22913,218.3313,69149.13,58.566875,16670.934,7.670991,5102.564,69.372604,0.9969433,2.4526381,42767.273,1.8310487,3.356577,10705.9795,15.867615
2202,834.52094,141.26686,93.07528,441.13205,223.92595,75230.11,71.07534,17144.889,8.215135,4618.7847,66.86045,1.1176087,2.2531095,41854.598,1.9749712,5.538452,13153.447,14.099076
2276,1525.5143,140.41557,91.03577,386.4687,231.29712,69046.836,72.887596,15481.559,7.943713,4769.045,66.24314,0.8533121,2.4373503,42334.305,2.4475782,20.364843,13188.372,13.767113
2278,1085.551,145.07507,91.423355,372.37244,230.28365,66645.28,65.33969,14851.802,8.995178,4967.413,70.30456,0.9731827,2.4995434,45273.066,1.9385138,4.628202,12385.289,15.700374
2317,875.97516,139.48988,92.64942,389.19263,235.92374,71357.055,65.30708,18247.451,7.679065,4462.3896,63.93493,1.0237361,2.5278707,37851.97,2.474372,13.069417,13417.249,13.971448
4779,1221.5895,141.31027,90.95457,421.48703,224.99626,78244.38,73.6254,17820.727,8.384526,4563.8228,60.240902,0.85806704,2.1823912,39496.312,2.1951454,5.584022,13176.358,13.986409
4807,485.95453,142.59033,89.86212,416.9634,217.10614,74586.234,65.44402,14333.512,7.045765,5295.0483,65.51632,0.87833047,2.26687,45020.06,2.030617,3.671962,12314.575,13.729648
4826,1499.802,138.9131,87.36784,421.9097,225.1402,67570.31,87.655495,15838.444,7.347521,4923.4673,64.78435,0.8418596,2.140047,43107.914,1.6034153,25.207333,13782.652,15.128956
4884,1253.8259,144.1872,92.21119,356.56137,214.69637,61773.223,62.61378,16022.052,7.530591,5147.393,70.76455,1.0021675,2.2636006,43809.1,2.4410574,4.175022,10237.855,15.662761
4900,1658.3541,141.28322,90.97744,440.90616,215.35657,66461.484,66.905655,17350.836,7.967161,5147.1846,68.92246,0.9215761,2.2505524,43371.63,2.1668746,5.511191,11972.943,15.232389
4958,824.82074,139.10838,100.07453,418.95224,235.78917,74953.94,70.99032,14853.07,7.7902036,4130.3594,62.78301,1.0571786,2.6660786,38051.754,2.2945652,3.474627,13819.455,14.61729
5023,1822.5951,144.50812,87.85058,400.10538,221.38448,71072.86,67.36541,16499.764,7.907514,5260.4814,71.07928,0.95946866,2.1431994,44950.086,1.930126,2.890136,11796.474,16.189753
5104,1715.2614,142.05338,90.85304,352.85745,234.65308,66567.68,69.96971,16689.414,9.352598,4739.84,69.27866,1.4658811,2.386312,41695.684,2.408652,4.4638257,10270.252,14.905905
5151,801.483,142.15126,92.5891,480.9813,223.67372,74718.375,87.03258,15972.796,8.443247,4336.0854,65.107956,0.831738,2.241607,44537.15,1.8380346,5.824414,13685.975,15.715736
5165,1167.0349,144.60732,97.563156,388.44687,232.40846,66621.2,66.90168,15629.621,8.645592,4656.8037,71.59904,0.9495249,2.5370934,44888.46,2.528798,3.6320915,12018.95,15.373252
5210,1401.7196,138.6287,90.18206,428.051,214.79126,69271.234,76.24923,15866.429,7.971083,4561.381,64.41435,1.0699466,2.3887753,41194.082,2.1005428,7.032997,13186.469,14.780296
5236,1878.7765,142.56041,90.86013,384.96695,241.41513,68279.26,70.59109,16107.341,7.5489435,4665.964,67.09299,0.91674465,2.4580896,42707.47,2.3116372,3.9948256,13399.5,14.462359
5253,1415.5924,138.61884,95.64952,362.14417,241.83603,64024.508,74.14802,15424.397,8.440325,4593.0596,69.10833,0.90256315,2.409893,43705.01,2.0037153,5.2884274,12689.022,15.102133
5276,1512.423,143.6078,80.96523,337.96716,221.62509,66392.2,67.67532,15855.653,8.047043,5561.7783,71.04799,0.91478586,2.0144625,45521.97,2.0780582,2.838091,12101.242,15.135254
5349,1164.9841,146.64262,90.91047,391.9009,224.98232,65472.066,61.91565,14748.788,7.18831,5431.222,68.56674,0.940206,2.1467352,45886.676,1.916387,2.9480844,11556.5625,15.633439
5353,2699.967,143.00243,85.466255,395.24945,219.06271,64847.188,70.86514,16457.758,7.7435665,4896.8726,68.311584,0.8567074,2.253801,44684.64,2.0020173,3.9051528,12522.871,14.484622
5486,886.1308,138.74263,96.18189,413.09967,231.84804,69400.01,71.982605,15311.999,7.1236863,4661.979,69.31701,0.938587,2.7906902,41368.3,3.1875463,5.0568924,10645.085,14.312724
5577,1362.9537,139.9485,145.69481,421.42178,234.52673,72600.68,72.725174,16775.68,7.7952604,5181.9727,66.3246,0.9290045,2.5393927,42366.43,2.1370187,4.9916525,13031.039,14.833285
5644,1797.637,137.89789,90.41312,397.2455,224.46252,71353.74,70.47207,15950.634,8.111865,5064.8794,63.01882,0.9813532,2.4153829,40604.89,2.1418216,3.302688,13054.802,14.836854
5720,2506.4573,143.63417,87.69094,448.88913,210.27042,73183.18,71.19339,20734.717,7.6597834,5282.3394,62.86909,0.97747505,2.0422704,40777.316,2.0355725,23.872759,12811.904,13.837373
5726,1602.1108,139.2866,92.156456,387.83728,228.60497,66573.17,80.058525,15563.87,8.006537,4903.92,69.730194,0.88894415,2.4076207,43100.773,2.5241647,4.465096,13983.456,14.903837
5741,889.37,142.34514,88.77568,392.03625,220.0761,64058.3,69.06043,15530.866,7.3263936,5299.208,71.82794,1.0378956,2.0699978,44239.055,2.8595896,3.7792532,12326.538,14.481071
5748,951.36865,140.41396,90.06796,394.0976,221.82516,73436.87,67.908104,17565.873,7.1162176,5031.14,67.38483,0.96194696,2.249412,40826.695,2.6589994,9.297916,12476.408,14.272297
5757,644.73645,137.81984,92.307014,388.79242,231.09921,71104.36,93.4784,16457.72,8.565928,4174.9463,64.86811,1.2151558,2.8565974,39514.23,1.9824045,4.812829,15048.484,13.558432
5768,1405.6603,142.08023,93.92976,337.3431,233.73732,65512.387,71.898575,15681.299,6.8810363,4277.362,73.329956,1.0983658,2.8863595,42741.39,2.9929311,4.592417,13629.22,14.405461
5772,875.8488,136.33374,91.42107,417.9047,223.98958,78790.51,80.863205,16339.95,6.5567827,5143.0815,63.38678,0.94081557,2.450489,38221.254,3.5386891,1.722197,13335.233,13.275848
5779,1021.2109,136.97902,91.76194,397.0629,257.2074,71690.336,71.64906,17096.701,8.635093,4399.276,65.54377,0.80917287,2.4631033,41506.668,2.0746028,13.694287,12750.872,14.731491
5784,1085.8286,140.56372,96.826385,390.5787,239.94267,72004.12,67.534454,19844.62,8.555235,4502.191,64.44784,0.89358807,2.5845757,40277.555,2.5624423,12.249815,12423.2,14.422255
5800,1105.3751,140.90674,94.6988,414.52148,235.1207,70294.46,60.351128,15954.237,7.634869,4674.427,69.55615,1.0081998,2.882224,41042.535,2.5824618,2.79487,11439.526,14.967744
5811,835.2513,141.6358,86.25943,394.6778,224.38762,65126.355,69.93653,17925.424,8.024725,4650.5195,73.86359,1.0148045,2.520868,44901.5,2.6965535,5.015147,12452.201,15.291395
5822,818.8558,133.72174,86.389305,436.96667,202.2329,70970.12,81.29339,17666.96,8.605805,4618.4224,61.044094,0.9552137,2.1906614,39305.375,1.6961906,6.2504673,14225.227,13.234135
5830,965.87244,139.38686,85.39099,418.37634,224.91135,73779.49,73.946144,16491.25,8.147486,5284.7515,66.336,0.9481202,2.1148732,42037.613,2.4576695,3.7558765,13745.261,13.639044
5831,1004.2144,138.0556,96.09678,369.82993,223.9304,69968.13,70.402214,15383.041,8.613975,5470.048,65.694855,0.95385045,2.690224,39789.09,2.4412847,14.298979,12911.561,15.014794
5832,890.47687,142.86218,86.22963,349.94586,244.31563,68518.59,52.364525,16970.52,8.467034,4543.6025,64.2148,1.0724238,2.4685717,41693.84,3.291208,11.713691,10981.914,14.690795
5837,1184.7614,141.33719,107.2965,368.11423,249.77669,63246.938,76.780235,14451.158,7.345215,4841.149,73.9548,1.1231917,3.024239,41858.918,2.851979,3.202193,12563.383,14.8075695
5856,898.0237,139.83205,88.84729,425.21008,221.77303,73557.61,71.31002,16951.432,7.522255,4831.4575,70.48397,0.9101568,2.2926986,43010.195,4.213961,1.5173805,12725.575,14.62313
5865,1613.0039,139.41087,91.464424,383.02408,254.53613,61972.57,66.0866,18707.758,8.244793,5134.407,75.094215,0.9468947,2.9220877,41055.69,3.058934,8.545285,12623.783,13.975975
5867,836.0842,139.68124,86.718544,387.43646,234.91312,75266.5,61.182804,16414.623,7.4586177,5441.8906,71.21207,0.937794,2.63231,42508.598,2.5179474,8.010902,10992.239,14.473982
5874,1130.1592,137.14894,96.58765,423.47638,236.42714,73556.41,75.93418,16262.803,7.613826,4929.3423,61.463673,0.94668126,2.6942768,37569.01,2.1677494,5.902277,13123.79,13.764424
5890,808.27673,140.72462,91.26883,374.03076,250.83775,64378.26,66.97794,16602.145,7.964451,5035.533,69.30696,0.8896667,2.7197425,43288.18,1.867755,4.25056,12199.017,14.911699
5893,968.091,138.49522,87.777115,370.77884,225.74146,65897.305,81.20534,15413.697,7.310588,5251.1895,65.74884,0.91570336,2.3040125,43180.72,1.8931385,4.0799785,12493.85,14.981248
5907,1311.2744,142.49086,92.39902,368.502,224.30281,73575.445,64.76566,15401.612,7.1803336,5621.9,68.86331,0.9774134,2.5607877,42669.984,2.8693554,3.4618907,12708.184,14.508215
5921,1000.1033,136.88568,100.52887,443.46838,234.37155,75526.49,77.42318,18132.57,7.563509,4713.8306,65.03694,1.0123879,2.6460507,39933.246,3.1235173,5.34017,12894.434,13.173971
5950,1079.2878,142.34119,96.45644,408.10822,219.6643,68927.305,70.713615,15193.904,8.068911,5073.783,66.39551,0.9254205,2.1739283,44218.227,1.3756019,3.8615494,12421.108,15.456301
5984,1265.2233,140.53702,95.78072,359.20007,224.53398,65541.46,66.91707,14337.544,7.7626505,5937.6675,70.7306,0.98651844,2.8080523,43699.957,2.8287787,3.9138057,11749.974,14.804183
5993,1303.401,141.45563,92.766914,439.84515,236.0065,76480.93,71.59728,15455.369,7.39552,5293.079,70.4967,1.0497015,2.5544257,42946.59,2.2957551,5.34826,14411.697,14.269671
6008,2612.8843,140.77711,91.94304,366.6408,240.03596,63178.285,69.8539,16072.425,8.124688,5534.623,66.305756,1.0050175,2.46386,42734.695,2.260249,3.7454188,12728.2705,14.773682
6009,1059.5096,142.37862,84.35363,347.6415,217.08739,51872.844,68.63305,18277.615,7.5765915,4449.2173,75.79634,0.9839982,2.4548817,45659.746,3.388244,3.7058494,11118.032,15.490652
6011,1019.5382,139.4975,88.55033,359.05933,209.81966,63123.027,81.29199,16943.7,7.6922417,4967.7812,70.33667,0.921557,2.2613316,45089.742,3.4294071,3.6170468,13645.124,14.138692
6012,806.14343,143.29134,84.79733,348.29285,212.1463,61353.07,79.51872,17736.84,7.414287,5320.2793,69.10035,0.919955,2.0343037,44556.996,1.7475504,2.3998425,13681.008,14.238012
6013,1010.91284,135.75502,92.73186,459.84412,230.4178,63617.65,90.435684,18619.516,7.2174134,4812.7905,65.66225,0.93698686,2.5147724,40098.465,3.5887382,1.0805955,14108.771,13.864775
6016,784.40735,138.02448,94.24322,548.28204,224.92,80636.16,84.68712,17596.094,8.108026,4534.765,61.47025,0.90552723,2.2657764,37192.2,2.2798603,5.3416777,14338.623,13.315365
6019,741.9498,150.35066,109.1956,365.4788,226.07353,66366.586,88.357735,14255.709,8.4054575,5335.3076,62.059093,0.8994507,2.4304495,41075.504,2.1320558,3.4134665,13867.671,14.508471
6020,1051.8328,135.72832,90.19649,438.90637,225.36736,70186.99,65.32212,18564.725,7.7545133,5470.0903,69.681046,0.9842262,2.2671041,41538.215,3.127989,8.3562155,11425.41,14.235898
6021,938.54565,141.0208,94.463646,375.61932,225.0159,68507.92,67.45604,14824.911,7.1362596,5758.306,68.265594,1.035887,2.3221693,43736.68,2.2235887,16.043522,11942.383,15.23161
6023,1145.7511,142.25256,89.8513,390.504,231.6535,72172.56,54.324203,17856.152,6.74957,5318.0327,69.04668,1.0665798,2.375491,42966.09,3.0740993,2.2030659,10635.55,13.673244
6024,941.1148,142.99553,88.464134,408.3125,231.2081,74051.83,58.074497,17229.605,7.196464,4747.8105,66.929214,1.0377189,2.648755,40709.676,3.4531224,1.8777312,11944.422,13.633467
6025,1233.3096,132.91339,96.13877,342.27435,240.25458,62563.516,73.98943,18423.398,8.841261,5153.5117,65.41035,0.98931986,2.658569,39294.734,2.5454304,14.755624,12483.545,14.608463
6030,1406.8258,143.49849,82.7823,396.86206,218.13696,76896.62,63.46089,17835.42,7.8213825,5118.813,61.72553,0.9432239,2.156599,37770.88,2.645577,9.813776,13110.88,13.906141
6034,780.806,141.05345,90.69725,381.05447,237.77081,65228.258,76.630226,15190.911,8.353559,4629.505,64.91163,0.9958208,2.8286357,41154.637,2.333961,14.521764,11912.073,14.881669
6035,1278.1102,143.71725,101.60168,359.58237,235.93915,71704.54,66.3436,16246.872,7.7498393,4806.5396,63.943485,1.0101115,2.6401818,41548.3,2.1164005,3.7281146,13259.043,13.926983
6036,937.4273,142.38391,90.478355,421.14435,223.78358,74727.29,62.04008,14781.975,7.9013457,4964.0205,66.16403,1.2740726,2.512166,39857.293,4.16481,4.4498906,11738.098,14.555761
6038,1007.70135,141.4402,94.41044,436.36258,227.21518,80572.48,72.92591,16580.084,7.862063,5191.41,62.54006,0.9910799,2.202532,40476.715,2.4296029,4.572713,13026.82,14.058933
6039,861.6499,140.91182,96.19003,385.00937,221.96452,67913.29,75.845985,16782.371,8.262909,4606.4688,66.947464,1.0115725,2.7649477,41250.715,2.463417,3.8126757,13587.386,14.595302
6040,1020.075,144.15816,84.62478,386.6617,229.95802,70912.4,54.67185,17553.705,6.6195364,4843.5684,68.71575,0.98523396,2.4221106,41680.625,3.7330263,1.6689962,11165.799,14.600306
6041,841.14764,138.70169,93.848335,468.56015,217.30603,81945.48,61.870537,18607.22,9.014672,5222.0894,64.65378,1.0758183,2.1800613,42037.254,2.0649128,3.7644293,11546.877,14.088131
6042,970.9678,141.71452,91.26497,391.45627,233.21623,79166.29,70.788795,15619.204,7.2488437,4635.425,66.527374,1.1473552,2.571591,40885.867,2.105672,3.0836887,13640.638,14.209455
6043,787.3183,136.80296,103.15233,392.41135,228.9802,70480.7,82.614395,18133.904,7.1312556,5390.9546,65.957825,0.9608018,2.199616,43024.71,2.096797,3.5259852,13162.303,13.479555
6046,701.18225,136.09377,92.01128,370.96185,228.09483,63464.508,83.0032,16954.287,6.914673,4724.517,63.40683,1.0491619,2.501127,39024.79,2.5913472,4.0342927,14328.249,13.449761
6064,725.3198,139.63475,98.74593,376.84744,221.74977,67484.95,92.05434,15918.441,8.644054,4676.672,66.3513,0.98399544,2.3858397,41768.445,2.8632877,2.3934844,15549.298,13.933449
6069,845.0725,138.29416,89.77005,370.9141,216.82803,66132.62,88.28759,16893.951,7.768064,4663.4106,64.4947,1.1108481,2.4090834,39823.223,4.7191668,1.085269,14440.472,14.360112
6070,872.5056,148.02736,80.99106,410.99664,223.72917,68232.35,63.54378,16532.92,7.506374,4747.8027,70.79532,1.0730925,2.4854052,41759.652,4.010171,1.3030262,11480.941,14.322208
6071,929.8502,140.5233,84.03046,395.2847,207.11134,68277.664,71.81418,16448.66,6.47538,5074.7686,70.4222,0.8277433,2.1809542,43363.258,1.8340261,2.1514223,12102.166,14.372773
6073,750.88184,140.9101,88.9578,350.4274,225.3432,65218.74,65.39139,14371.992,7.7254796,4908.8096,72.28395,0.9768467,2.4940863,42001.457,2.9431012,7.3694506,11930.946,14.969719
6074,920.55304,137.28117,92.59909,415.87427,223.45259,66213.66,86.29089,17204.23,8.336077,4523.275,63.741013,0.9307218,2.2289317,39958.16,2.914846,6.901981,14362.248,14.385481
6076,1030.9202,139.64693,91.583405,374.07263,238.20451,67670.43,63.373123,16462.502,7.5682874,5211.19,71.33354,0.93690586,2.255573,42647.2,2.685051,8.522257,10980.562,14.38708
6085,1245.2659,142.73465,86.50083,382.5979,225.83531,68239.07,62.681374,15863.184,6.6263657,4792.673,75.92919,0.98986787,2.6213546,42062.348,2.8041353,3.8656063,12085.489,14.011012
6086,827.72406,137.80865,84.45814,358.46683,220.4069,63166.668,70.84968,17588.148,7.7134876,4534.017,70.85719,0.8777493,2.6044085,41180.39,2.9165657,4.1157637,12814.907,13.600692
6088,679.4852,136.4643,87.0511,405.59985,225.66626,66245.19,89.495514,13401.484,7.844142,4852.2114,65.01422,0.90824735,2.3757343,41131.832,3.0295136,2.4373252,13443.073,14.404337
6090,1592.63,136.17628,92.505844,464.45425,279.0023,76486.055,65.31903,17452.512,7.7461524,4251.223,62.17563,1.071674,2.451138,37283.418,3.1935048,5.431036,12360.457,13.942509
6092,1034.2585,146.36682,94.70284,364.80673,227.9267,68141.02,62.468708,15158.3125,8.40719,4928.5454,73.24841,0.9048131,2.5081027,44828.227,3.1354024,4.8278365,13068.166,15.159382
6094,987.15765,138.74326,91.490715,440.8673,216.4877,76403.07,76.471664,14948.463,9.257527,4592.1953,61.783176,0.9470574,2.3876014,37727.297,2.922236,3.8437958,12435.492,15.065112
6097,1002.7583,140.79767,91.60452,351.01974,221.7403,67118.2,60.001846,16886.516,8.222423,5107.4707,66.493774,0.90951777,2.2101407,43603.598,2.0610406,4.173925,9755.1455,15.271761
6098,1197.7228,139.53548,89.81979,400.98053,225.53735,76773.086,66.83031,15427.371,8.2235775,5101.151,67.05362,1.0514771,2.3904915,43171.723,2.2909918,2.8992221,11856.358,14.761616
6099,957.7937,140.3925,97.37825,562.4296,234.50246,83715.4,61.616634,15767.578,7.532512,5229.87,65.54773,0.87170756,2.5279596,40328.098,3.256861,9.350967,10684.293,14.302465
6100,1215.8202,139.64142,86.72858,448.56012,230.91093,80350.99,59.609993,15391.717,7.8315535,4749.591,69.63957,0.9056216,2.543849,41609.312,2.4769757,0.74298894,12425.018,14.095642
6102,1561.8165,141.54198,121.68144,381.40784,246.61946,69148.99,72.332924,15909.234,8.197255,4640.6626,68.09408,0.99394083,3.5800302,40149.324,3.0287454,4.1069717,13188.697,14.44656
6104,838.6103,143.27217,89.62585,364.85077,229.52788,67428.03,48.23303,17196.68,7.67962,4992.4897,66.760025,1.0618999,2.4917932,42559.805,3.191019,10.814023,9249.623,14.668511
6105,1112.1405,141.95595,86.26219,401.98807,243.62155,69260.766,74.0594,14905.697,8.043931,4799.1226,65.06195,0.92699736,2.340118,41736.895,2.5859818,5.368842,12730.33,15.018829
6106,1285.491,142.11656,102.65243,309.49396,241.9387,64401.938,70.79583,15880.655,8.276174,4233.2144,65.09033,0.958046,2.8638277,40387.06,3.2712624,12.545553,13825.815,13.986822
6107,1162.0465,141.34196,91.11654,375.76907,242.72964,61673.387,70.32186,16003.424,7.789948,4969.288,69.09928,0.89772564,2.8266847,44076.9,2.468218,6.707592,12100.275,15.881527
6108,1575.6307,139.22617,91.67731,418.71698,215.61797,75735.305,67.70007,15750.701,8.208382,5056.325,62.99632,0.93424827,2.2384427,39851.41,1.863921,5.8265066,12406.354,14.498424
6109,1001.7128,146.30968,94.21439,353.0389,218.12393,64542.27,61.74246,15578.868,9.123985,5003.403,71.615906,0.8860225,2.6563375,44746.777,2.12957,3.9006476,12350.642,15.352778
6111,1124.9985,144.26393,96.11011,347.61755,227.83508,64027.605,66.616165,15638.906,7.2812433,5698.0205,69.730415,0.95861185,2.4647982,44344.145,2.2311144,4.520704,12221.35,14.4549
6112,765.0038,139.32121,89.04624,353.34723,234.48123,66398.18,62.272514,17211.246,8.283094,5411.205,64.95362,0.94902104,2.3419487,42376.312,2.2624946,9.795619,11942.196,14.569522
