"Mineral","Type","Moyenne","SD","RSD"
"As75","Feuille",0.988577101451452,0.0839539362882049,8.49240146923713
"As75","Graine",1.68055237737738,0.185366083467962,11.0300688013806
"Ca43","Feuille",41551.1442482482,2426.72011960674,5.84032079864815
"Ca43","Graine",4348.07081571572,342.569658290415,7.87865866977666
"Cd114","Feuille",2.45740618218218,0.242656014493603,9.8744772538223
"Cd114","Graine",0.151884972285285,0.131792367470572,86.7711699765968
"Co59","Feuille",2.49804076396396,0.585558387819444,23.4407058630326
"Co59","Graine",0.291140822472472,0.0409569461277878,14.0677441864616
"Cu65","Feuille",7.82033133673674,0.629987893047381,8.05576983788339
"Cu65","Graine",2.74636392652653,0.229452389187091,8.35476999136425
"Fe57","Feuille",139.982038604605,3.27789342818218,2.34165287265245
"Fe57","Graine",19.6077281401401,0.840907826896969,4.28865506950546
"K39","Feuille",71774.1912132132,6770.8512385211,9.43354585272515
"K39","Graine",6776.89988658659,664.548977190817,9.80609110820935
"Li7","Feuille",14.4904765045045,0.634026745538344,4.37547202358219
"Li7","Graine",2.14326620600601,0.545882025127477,25.4696324515251
"Mg25","Feuille",4820.36412252252,400.838596700767,8.31552526971771
"Mg25","Graine",1421.03443843844,97.2612996436542,6.84440130462522
"Mn55","Feuille",229.227851891892,12.0925424724624,5.27533734345925
"Mn55","Graine",25.9243413556557,5.69607027254868,21.9718996691348
"Mo98","Feuille",6.27358234296296,4.48883892396396,71.551446662672
"Mo98","Graine",1.30151632198198,0.515731255817185,39.6254159173214
"Na23","Feuille",1163.55760259259,390.878446375968,33.5933902631918
"Na23","Graine",45.3617469614615,30.5230220486082,67.2880215008916
"P31","Feuille",16109.9114474474,1227.16569371778,7.6174577229735
"P31","Graine",5187.84481811812,184.112941649272,3.54892923948444
"Rb85","Feuille",406.154318388388,43.7896177073889,10.7815221271425
"Rb85","Graine",41.6598814474474,4.61936224545551,11.0882750621427
"S34","Feuille",12788.3946376376,1228.37104360178,9.60535765753232
"S34","Graine",3647.5077024024,380.117790955288,10.4213019400871
"Se82","Feuille",73.0212555955956,9.55833005127279,13.0897914221148
"Se82","Graine",11.283860504957,8.1048031206547,71.8265093501846
"Sr88","Feuille",66.5774021891892,4.24540754356039,6.37664943954475
"Sr88","Graine",5.90466052382382,1.0384794940135,17.587454686404
"Zn66","Feuille",92.497821970971,6.54679819006254,7.07778632032779
"Zn66","Graine",21.7533954864865,2.75059626809494,12.6444456443761
